timestamp;from;to;memo
2021-10-28T01:50:50.000;nadimhamdan1;freedomcell1;his ongoing commitment offline, permaculture, soil regeneration and seed planting
2021-10-27T20:38:35.000;aliciaved111;omosomcp1222;projecting to expand the ecosystem with the campaign
2021-10-27T20:37:32.500;kwizeralione;sartiairedia;his implementing and controlling well project activities
2021-10-27T19:14:53.000;kwizeralione;fabricendayi;his flexibility to join discord
2021-10-27T19:03:59.500;kwizeralione;yves321lewis;for your support to build circle in our community
2021-10-27T18:57:45.500;kwizeralione;irakozebienv;for helping others members to evolve in mouvement SEEDS.
2021-10-27T18:50:16.000;neiltakemoto;milaecdap141;for looking to bring Prosocial to SEEDS (and to myself), and hosting many, many, many hours of calls and meetings regarding better understanding communications in SEEDS.
2021-10-27T15:59:37.000;dayagardunha;f4b1vuk1seed;amazing and keeping CATs in the loop.
2021-10-27T15:19:18.500;gmvdrfntq533;milaecdap141;for answering our questions in SEEDS Explorers on the Earth Regenerators platform last week.
2021-10-27T15:17:03.000;gmvdrfntq533;twakefield14;for answering our questions in SEEDS Explorers on the Earth Regenerators platform last week.
2021-10-27T15:15:53.000;gmvdrfntq533;nalunation21;for being the truly sweet and generous person she is!
2021-10-27T15:13:27.500;juliomonteir;lesgavatxes1;Thanks for testing the Light Wallet Gratitude
2021-10-27T10:09:55.500;marcwinnseed;milaecdap141;for being a fabulous partner in mischief
2021-10-27T08:45:42.500;aliciaved111;taeolroiya32;subtle beauty in scribing
2021-10-27T08:45:30.000;aliciaved111;romboxen1234;clarity and energetic in every meeting
2021-10-27T08:45:10.000;aliciaved111;saintpatrick;spiritual support of all Samarans
2021-10-27T08:44:55.000;aliciaved111;twakefield14;loom videos and capacity for synthesis
2021-10-27T08:44:34.000;aliciaved111;nalunation21;organising & inviting 4th gen women to topia campsite last Monday to plan ceremony
2021-10-27T08:44:16.500;aliciaved111;inhabit4love;lovingly facilitating grounding for Samarans
2021-10-27T01:29:47.500;nadimhamdan1;taeolroiya32;for this valuable input !🙏
2021-10-27T01:29:39.000;nadimhamdan1;f4b1vuk1seed;für Deinen Einsatz 🙏💓
2021-10-27T01:29:29.500;nadimhamdan1;milaecdap141;sharing high frequency wisdom with unconditional love 💖
2021-10-27T00:29:33.000;monicazul512;juliomonteir;celebro o SEEDS Light Wallet traduzido e funcionando!!! Gratidão profunda por facilitar acessos assim. 💚
2021-10-26T07:47:07.000;parfaitmugis;kwizeralione;for helping in our projects to set-up everything
2021-10-25T13:53:43.500;fjudrguhuo45;juliomonteir;pelo empenho na tradução do SEEDS Light Wallet! (2)
2021-10-25T12:00:54.500;letipenteado;juliomonteir;por toda essa boniteza com o seeds
2021-10-24T22:16:42.000;gastonfehr44;marionospelt;cooking
2021-10-24T22:15:03.500;gastonfehr44;leonfehr1313;learning rules
2021-10-24T19:36:22.500;bigorna12345;georgeashish;the awesome graphics !
2021-10-24T17:23:54.000;marionospelt;marshalneyer;Food Projects
2021-10-24T17:23:26.000;marionospelt;gastonfehr44;to be cool
2021-10-23T22:29:14.000;helderbcosta;juliomonteir;pelo empenho na tradução da Light Wallet!
2021-10-23T20:11:13.000;vladmediador;juliomonteir;pelo empenho na tradução da Light Wallet!
2021-10-23T07:55:01.500;nalunation21;aliciaved111;for your heart-centered sharing on facing racism in the ecosystem. You are one of the bravest and gracious humans I've ever known 🙏💞
2021-10-22T15:58:08.500;kiranbhealth;aliciaved111;for her kind offer to help with writing project and supportive interest in research 😀
2021-10-22T15:54:30.000;aliciaved111;kiranbhealth;the equanimity on her response in discord
2021-10-22T15:48:00.500;aliciaved111;freeminister;trying the work courageously
2021-10-22T14:50:50.000;bigorna12345;ombombadi11o;a special shared moment.
2021-10-21T22:15:32.000;omosomcp1222;juliomonteir;for supporting my journey in SEEDS
2021-10-21T15:53:28.000;kiranbhealth;gradinagruiu;for resolving gratzbot woes
2021-10-21T15:52:54.000;kiranbhealth;omosomcp1222;for help with proofreading article
2021-10-21T07:37:08.500;nalunation21;anahealingwo;I am sending you a wave of gratitude for steering the Storyteller boat with so much grace and joy, love and care you brought to the space every week. Thank you sister 💃💗
2021-10-20T02:44:25.000;nomik22kimon;nadimhamdan1;Sensing into, calling out and celebrating the undercurrents alive in our ecosystem 🙏
2021-10-19T16:19:59.000;luckiestrmax;neiltakemoto;for dedication and patience
2021-10-19T05:00:30.500;omosomcp1222;chuckseattle;for supporting my proposal " THE IMPACT OF A SINGLE DROP OF SEEDS IN SCHOOL"
2021-10-19T04:58:53.000;omosomcp1222;f4b1vuk1seed;for supporting our organisation with an Epson printer.
2021-10-18T20:02:05.500;bigorna12345;nadimhamdan1;making my day 😎 !
2021-10-18T19:58:19.000;nadimhamdan1;nomik22kimon;sharing your wisdom not only in hypha. We really appreciate your knowledge 💞
2021-10-18T19:58:08.000;nadimhamdan1;gradinagruiu;this amazing picture in <#893761202075865098>
2021-10-18T16:53:01.000;nadimhamdan1;ombombadi11o;this beautiful meditation in the <#849114946422702101>
2021-10-18T03:46:22.500;illumination;gradinagruiu;"Testing"
2021-10-17T19:22:30.000;allaboutyou1;milaecdap141;for warm meet the seedizens talk and sharing you experice and wisdom
2021-10-17T12:48:52.000;thealchemist;f4b1vuk1seed;for Stewarding the proposals with nursery call this week
2021-10-17T07:47:17.000;aliciaved111;saintpatrick;stepping up to purpose
2021-10-17T07:45:48.500;aliciaved111;geschichten1;mantle of gratitude for indigenous day celebration
2021-10-17T04:03:06.000;bigorna12345;dayagardunha;for the full tour. love your corner !
2021-10-14T16:45:48.000;kwizeralione;nadykhuzayim;for helpful and wonderful collaborating with PVC in Burundi
2021-10-14T16:43:57.000;kwizeralione;niyonsabaves;for participating in project activities in Burundi
2021-10-14T16:28:52.000;kwizeralione;pamellamumar;for good collaborating and implementing in Burundi projects activities
2021-10-14T16:19:14.500;kwizeralione;parfaitmugis;for leading and good mentoring PVC in Burundi
2021-10-14T15:45:22.000;sartiairedia;kwizeralione;je remercie Mr Lionel de sa volonté pour m'aider à sensibiliser à la caummune sur l'écosystème SEEDS
2021-10-14T12:55:15.000;bigorna12345;gradinagruiu;being so helpful and always available ! 🙏
2021-10-14T05:10:03.000;parfaitmugis;nadykhuzayim;for her leadership to support our community
2021-10-14T01:30:20.000;nadimhamdan1;arbolariatro;the amazing connection today and every thing you do! 💚 🌱
2021-10-13T14:33:02.000;melodzogu215;totohmshanti;for opening for me the door to a pioneering Seeds Italian Community!
2021-10-13T09:25:11.000;omosomcp1222;chuckseattle;for supporting my proposal " THE IMPACT OF A SINGLE DROP OF SEEDS IN SCHOOL"
2021-10-13T09:18:18.500;omosomcp1222;f4b1vuk1seed;for great efforts and encouragement in proposal writing and posting journey.
2021-10-13T01:25:38.000;nadimhamdan1;twakefield14;for the lovely meeting and the almond butter 😋
2021-10-13T01:25:36.000;nadimhamdan1;twakefield14;for the lovely meeting and the almond butter 😋
2021-10-12T11:57:28.500;bigorna12345;rozziesavage;great inspiring writing ! 🙏 https://seedslibrary.com/sowing-the-seeds-of-love-for-the-regenaissance/
2021-10-12T09:02:14.000;samuelnuesch;aleksandardj;for driving passport improvement
2021-10-12T09:01:34.000;samuelnuesch;pedromoscoso;for being passionately engaged to improve passport experience
2021-10-12T06:55:39.000;nalunation21;geschichten1;for this beautiful wave of gratitude 🌊🙏🙏
2021-10-12T06:20:31.500;nalunation21;saintpatrick;you are one of my absolute favourite humans on our beautiful planet 🌏💚
2021-10-11T19:36:00.500;geschichten1;saintpatrick;for bringing prayers and ritual into the tent
2021-10-11T19:35:30.500;geschichten1;taeolroiya32;for reminding us to honour the indigenous wisdom
2021-10-11T19:35:17.000;geschichten1;nadimhamdan1;for playing the drum in such a loving way
2021-10-11T19:34:57.500;geschichten1;ombombadi11o;for holding the space today and sharing his stories
2021-10-11T19:34:36.000;geschichten1;aliciaved111;for bringing the fire to our inner space session today
2021-10-11T08:15:45.000;fistonmugan1;mghunther331;for his support to ensure the growth of our communities through Seeds movement.
Thank you for support your fellow refugees and contributing to the common good/the better world we deserve with SEEDs.
2021-10-11T08:11:35.000;fistonmugan1;mutebisyaka1;For Spreading the SEEDS around the globe through his local facilitations in the Refugee areas.
2021-10-11T07:53:12.500;nalunation21;nadimhamdan1;for sharing your Samara awakening journey. She is special, so are you. I feel deeply honoured to share space, energy and love with you and her. 💜
2021-10-11T07:41:51.000;mutebisyaka1;mghunther331;for spreading SEEDS in our community.
2021-10-11T07:32:01.500;sartiairedia;parfaitmugis;for his leadership to lead our community
2021-10-10T17:24:31.500;paulinhoy434;mimiantoinep;for her facilitation on how to make an organic soap from the Moringa tree in our permaculture design course
2021-10-10T17:20:32.500;paulinhoy434;glorymudeku3;for being a good facilitator in permaculture design course
2021-10-10T17:19:36.000;paulinhoy434;mutebisyaka1;for his facilitation into the project of implementing permaculture in the Nakivale refugee settlement Uganda
2021-10-10T17:16:08.000;paulinhoy434;mutebisyaka1;for his facilitation into the project of implementing permaculture in the Nakivale refugee settlement Uganda
2021-10-10T17:14:55.500;paulinhoy434;dayagardunha;for his great contribution to grow this movement
2021-10-10T15:40:48.000;bigorna12345;dayagardunha;putting together this wonderful team and today's successful experiment. And the liqour 🍷!
2021-10-10T15:37:45.000;bigorna12345;shultishirha;the amber gold 🐝🐝🐝!
